fill	x	y	tooltip	key	showSelectedlegendfill	clickSelects	showSelected1
#000000	0	0.25	4.4<thresh<6.1 FP=0 FN=3	-4.8 5.25202555736225	Min	5.25202555736225	-4.8
#FFFFFF	0	0	6.1<thresh<Inf FP=0 FN=4	-4.8 Inf	More	Inf	-4.8
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-4.6 -Inf	More	-Inf	-4.6
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-4.6 -3.5987564321254	More	-3.5987564321254	-4.6
#FFFFFF	0.666666666666667	1	-3.2<thresh<-2.6 FP=8 FN=0	-4.6 -2.87110214393305	More	-2.87110214393305	-4.6
#FFFFFF	0.583333333333333	1	-2.6<thresh<-2.5 FP=7 FN=0	-4.6 -2.524465240576	More	-2.524465240576	-4.6
#FFFFFF	0.583333333333333	0.75	-2.5<thresh<-1.0 FP=7 FN=1	-4.6 -1.7250450381836	More	-1.7250450381836	-4.6
#FFFFFF	0.5	0.75	-1.0<thresh<0.6 FP=6 FN=1	-4.6 -0.212657524285237	More	-0.212657524285237	-4.6
#FFFFFF	0.416666666666667	0.75	0.6<thresh<1.5 FP=5 FN=1	-4.6 1.01295894632013	More	1.01295894632013	-4.6
#000000	0.166666666666667	0.75	1.5<thresh<1.6 FP=2 FN=1	-4.6 1.51885391825865	Min	1.51885391825865	-4.6
#FFFFFF	0.166666666666667	0.5	1.6<thresh<2.2 FP=2 FN=2	-4.6 1.86523715330971	More	1.86523715330971	-4.6
#000000	0.0833333333333333	0.5	2.2<thresh<2.9 FP=1 FN=2	-4.6 2.52562278092917	Min	2.52562278092917	-4.6
#FFFFFF	0.0833333333333333	0.25	2.9<thresh<4.2 FP=1 FN=3	-4.6 3.55283511716953	More	3.55283511716953	-4.6
#000000	0	0.25	4.2<thresh<5.9 FP=0 FN=3	-4.6 5.05202555736225	Min	5.05202555736225	-4.6
#FFFFFF	0	0	5.9<thresh<Inf FP=0 FN=4	-4.6 Inf	More	Inf	-4.6
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-4.4 -Inf	More	-Inf	-4.4
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-4.4 -3.5987564321254	More	-3.5987564321254	-4.4
#FFFFFF	0.666666666666667	1	-3.2<thresh<-2.6 FP=8 FN=0	-4.4 -2.87110214393305	More	-2.87110214393305	-4.4
#FFFFFF	0.583333333333333	1	-2.6<thresh<-2.5 FP=7 FN=0	-4.4 -2.524465240576	More	-2.524465240576	-4.4
#FFFFFF	0.583333333333333	0.75	-2.5<thresh<-1.0 FP=7 FN=1	-4.4 -1.7250450381836	More	-1.7250450381836	-4.4
#FFFFFF	0.5	0.75	-1.0<thresh<0.4 FP=6 FN=1	-4.4 -0.312657524285237	More	-0.312657524285237	-4.4
#FFFFFF	0.416666666666667	0.75	0.4<thresh<1.3 FP=5 FN=1	-4.4 0.812958946320131	More	0.812958946320131	-4.4
#000000	0.166666666666667	0.75	1.3<thresh<1.6 FP=2 FN=1	-4.4 1.41885391825865	Min	1.41885391825865	-4.4
#FFFFFF	0.166666666666667	0.5	1.6<thresh<2.0 FP=2 FN=2	-4.4 1.76523715330971	More	1.76523715330971	-4.4
#000000	0.0833333333333333	0.5	2.0<thresh<2.7 FP=1 FN=2	-4.4 2.32562278092917	Min	2.32562278092917	-4.4
#FFFFFF	0.0833333333333333	0.25	2.7<thresh<4.0 FP=1 FN=3	-4.4 3.35283511716953	More	3.35283511716953	-4.4
#000000	0	0.25	4.0<thresh<5.7 FP=0 FN=3	-4.4 4.85202555736225	Min	4.85202555736225	-4.4
#FFFFFF	0	0	5.7<thresh<Inf FP=0 FN=4	-4.4 Inf	More	Inf	-4.4
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-4.2 -Inf	More	-Inf	-4.2
